run,total_gas_kwh,n_steps,run_optimal,running_mean_total_gas_kwh,running_std_total_gas_kwh
1,21804.260261534706,17520,True,21804.260261534706,0.0
2,21851.482145370977,17520,True,21827.871203452843,23.610941918134813
3,21657.374101160494,17520,True,21771.038836022057,82.6528101624465
4,21750.480326871726,17520,True,21765.899208734474,72.13087117717275
5,21756.65374931093,17520,True,21764.050116849765,64.62171944953725
6,21841.74468548913,17520,True,21776.999211622995,65.71428660808103
7,21796.601056316325,17520,True,21779.799475150616,61.22504946164578
8,21730.791411712893,17520,True,21773.6734672209,59.52007357579346
9,21710.84214078213,17520,True,21766.6922087277,59.488791772025415
10,21847.915716736527,17520,True,21774.814559528582,61.47176550774543
11,21654.117605255764,17520,True,21763.842109140147,68.11166831977472
12,21757.10209277588,17520,True,21763.28044110979,65.23855911397268
13,21888.67724307457,17520,True,21772.926348953235,71.02958597578407
14,21649.11993180176,17520,True,21764.083033442414,75.50818158571455
15,21686.65322756884,17520,True,21758.921046384177,75.46146035830286
16,21829.256677958467,17520,True,21763.31702335757,75.02265792881356
17,21805.39598623979,17520,True,21765.792256468292,73.45301464133895
18,21748.271673934785,17520,True,21764.818890771985,71.49622678334877
19,21699.463403996124,17520,True,21761.379128310098,71.10308317329738
20,21724.366950100804,17520,True,21759.52851939963,69.77059787877504
21,21883.671896112653,17520,True,21765.440108766918,73.04154717339536
22,21730.62652130744,17520,True,21763.857672973307,71.72970586864426
23,21814.82037484049,17520,True,21766.073442619705,70.91868916054703
24,21704.403737707806,17520,True,21763.50387158171,70.51071983453227
25,21882.577818863007,17520,True,21768.266829472963,72.92015891434067
26,21778.575129978453,17520,True,21768.663302569326,71.53157277567647
27,21876.047862186737,17520,True,21772.640508481083,73.06523382534003
28,21630.662103407773,17520,True,21767.569851157034,76.43349357081438
29,21852.47400252692,17520,True,21770.497580514617,76.68528358741973
30,21810.511739776986,17520,True,21771.831385823363,75.73772963128124
31,21735.980483546035,17520,True,21770.67490510474,74.77491752304019
32,21764.79493680842,17520,True,21770.49115609548,73.60439664957143
33,21852.65434435876,17520,True,21772.980949679215,73.83635688248177
34,21703.937101465966,17520,True,21770.95024826118,73.67186713811958
35,21711.146379204583,17520,True,21769.241566288132,73.292138190772
36,21697.640631266786,17520,True,21767.252651426432,73.21867911193767
37,21849.771836281052,17520,True,21769.482899665745,73.45167128792876
38,21945.29691747221,17520,True,21774.10958434486,77.75088582831303
39,21742.74732541308,17520,True,21773.30542385943,76.90753362205238
40,21761.223540900846,17520,True,21773.003376785466,75.96352792355141
41,21801.60763358349,17520,True,21773.701041585417,75.1610547680304
42,21759.30150642099,17520,True,21773.358195510074,74.29333112678471
43,21850.522757000163,17520,True,21775.152720195892,74.3397067421505
44,21789.702729871424,17520,True,21775.48340223397,73.52206646037834
45,21664.848085931633,17520,True,21773.024839649475,74.50725790965636
46,21798.41894314238,17520,True,21773.57688537758,73.78593574608657
47,21736.42409270546,17520,True,21772.78640042711,73.1933783367717
48,21691.975723596566,17520,True,21771.102844659807,73.34081911545086
49,21828.571498425557,17520,True,21772.2756743285,73.04196182188633
50,21666.558973165793,17520,True,21770.161340305243,73.80701614878286
51,21803.92904634288,17520,True,21770.82345218833,73.22965241192607
52,21650.99196603645,17520,True,21768.519000531564,74.36592489139299
53,21852.34419574306,17520,True,21770.100607988385,74.53873320274995
54,21820.637357817734,17520,True,21771.036473725966,74.15897252057621
55,21858.936029389504,17520,True,21772.634647465304,74.41428579988654
56,21767.325107501474,17520,True,21772.539834251664,73.75023172009315
57,21743.410338541333,17520,True,21772.028790467273,73.20040445238534
58,21951.204061691184,17520,True,21775.118019281475,76.22260044640271
59,21799.75399729157,17520,True,21775.535578230803,75.64076157986237
60,21745.635706856203,17520,True,21775.037247041226,75.10537777019928
61,21641.629929403967,17520,True,21772.850241834058,76.38929803392683
62,21808.029524995454,17520,True,21773.417649626983,75.90023556695738
63,21784.45588120241,17520,True,21773.592859651988,75.30808106186625
64,21734.081861203285,17520,True,21772.97550030123,74.87792900437206
65,21822.205180004912,17520,True,21773.732879988976,74.54635604066955
66,21688.68477025099,17520,True,21772.444272265675,74.70537436045839
67,21692.47815976071,17520,True,21771.250748198436,74.77708892869124
68,21788.198101491755,17520,True,21771.49997398216,74.25324928380057
69,21819.087457189387,17520,True,21772.18964765183,73.93228499043497
70,21695.779657954798,17520,True,21771.098076370447,73.96021037255795
71,21771.322996221366,17520,True,21771.10124425567,73.43752160669804
72,21752.047928611406,17520,True,21770.83661487172,72.95983740416042
73,21656.75163621802,17520,True,21769.27380694496,73.66185388303417
74,21808.740313559923,17520,True,21769.807138115433,73.30421366181149
75,21738.49215918599,17520,True,21769.38960506304,72.90241200118368
76,21816.150954722547,17520,True,21770.004885979608,72.61696355799992
77,21738.569474480893,17520,True,21769.596633882225,72.2316196589357
78,21792.446321219046,17520,True,21769.889578591672,71.81312502037397
79,21673.146872210848,17520,True,21768.66498737166,72.17212417565055
80,21512.781644206316,17520,True,21765.466445582097,77.14874082552475
81,21774.426447688442,17520,True,21765.57706289205,76.67741852010823
82,21695.512031736856,17520,True,21764.722611292596,76.59545207128544
83,21814.1601478365,17520,True,21765.318244263002,76.3234565934712
84,21820.093490221858,17520,True,21765.97033052442,76.10002984587857
85,21836.104545081173,17520,True,21766.795438930967,76.02808778921109
86,21743.664981482587,17520,True,21766.52648012343,75.62543547571386
87,21685.349051160276,17520,True,21765.5934062273,75.68581371877825
88,21796.956650861655,17520,True,21765.94980673451,75.32793939347523
89,21623.25686693344,17520,True,21764.346515276073,76.39862642045792
90,21679.215115730003,17520,True,21763.40061083667,76.49528595533172
91,21748.61038422206,17520,True,21763.238080873874,76.08944538099442
92,21784.512289544633,17520,True,21763.469322272467,75.70692985841835
93,21790.61030006047,17520,True,21763.761160743306,75.35081543207282
94,21781.99246575305,17520,True,21763.9551107966,74.97227611304648
95,21833.335025997345,17520,True,21764.68542569345,74.91202341071495
96,21784.27198135754,17520,True,21764.889452314954,74.54736371060493
97,21748.331611959973,17520,True,21764.71875292985,74.18096023394831
98,21835.353879030947,17520,True,21765.439519522715,74.14213123368238
99,21800.001821397735,17520,True,21765.78863368307,73.84764124731448
100,21832.04878028083,17520,True,21766.451235149045,73.77265351187393
101,21803.554437087732,17520,True,21766.818593584085,73.49839750648871
102,21717.025279160087,17520,True,21766.33042383483,73.30158791111768
103,21928.47172980259,17520,True,21767.904611271413,74.65734585644313
104,21811.705808415438,17520,True,21768.325776628564,74.42040044366027
105,21807.94766459576,17520,True,21768.703127942536,74.16507500889342
106,21737.106215671607,17520,True,21768.40504386451,73.87758061076742
107,21770.369167174154,17520,True,21768.423400157124,73.53179075453163
108,21709.249469694714,17520,True,21767.87549339358,73.4096841910649
109,21797.807829569985,17520,True,21768.150101982355,73.12787293751519
110,21773.226297634665,17520,True,21768.196249215558,72.79630895673844
111,21733.9083836358,17520,True,21767.887349525652,72.54003877106288
112,21743.273925242465,17520,True,21767.66758680884,72.25258049684011
113,21660.77309197474,17520,True,21766.721617828003,72.62548357301209
114,21796.818002369564,17520,True,21766.985621201176,72.36069038441221
115,21774.061203582092,17520,True,21767.04714800449,72.04838670007835
116,21663.57444145128,17520,True,21766.155141913514,72.37211406411126
117,21726.252357640733,17520,True,21765.814092475284,72.15572423035196
118,21571.200689293237,17520,True,21764.164826346623,74.03090779699784
119,21840.543132640185,17520,True,21764.80666085329,74.04816226993215
120,21678.398603641846,17520,True,21764.086593709864,74.15617768596447
121,21757.241471346802,17520,True,21764.030022450665,73.85171154885077
122,21667.228015536184,17520,True,21763.236563377595,74.06448958061104
123,21709.803686503248,17520,True,21762.802149744468,73.91869801050775
124,21775.32523469104,17520,True,21762.90314236501,73.62855525850337
125,21710.60032154718,17520,True,21762.484719798464,73.4813203429189
126,21812.12434462972,17520,True,21762.878685074902,73.32156783227266
127,21649.94045430605,17520,True,21761.989407667275,73.71135456365472
128,21757.137612362614,17520,True,21761.951503016455,73.42409758268184
129,21764.119746823853,17520,True,21761.968311107983,73.13920158967338
130,21671.36072199792,17520,True,21761.271329653293,73.28615179180188
131,21766.184761421984,17520,True,21761.30883676603,73.00715029823975
132,21762.551582518376,17520,True,21761.318251506582,72.73016214054189
133,21772.305472630407,17520,True,21761.40086219172,72.46244074472318
134,21761.166500067597,17520,True,21761.399113220647,72.19155498531438
135,21725.01085596943,17520,True,21761.12957057434,71.99132967235315
136,21716.62576024912,17520,True,21760.80233667489,71.82686930457803
137,21819.88806185838,17520,True,21761.233619340463,71.74077041929965
138,21655.618870981318,17520,True,21760.46829507699,72.03948045836064
139,21828.543104808814,17520,True,21760.958041909595,72.01007179093405
140,21685.912630734332,17520,True,21760.422003258343,72.03021179463046
141,21720.803466943526,17520,True,21760.141020731287,71.85128918768109
142,21775.158356260552,17520,True,21760.246776615295,71.60885666282937
143,21759.077451584322,17520,True,21760.23859951718,71.35810330894344
144,21801.19842936143,17520,True,21760.523042779983,71.19120579739592
145,21623.906243133308,17520,True,21759.580857954836,71.84055489024064
146,21882.32660144812,17520,True,21760.421582225335,72.30632111220307
147,21785.077969517984,17520,True,21760.589312751137,72.08845645424879
148,21773.886969122806,17520,True,21760.679161780674,71.85275998173837
149,21760.44536144056,17520,True,21760.677592650874,71.61123996037715
150,21909.613664036915,17520,True,21761.67049979345,72.39389280326479
151,21677.71421859849,17520,True,21761.11449793123,72.474399891518
152,21823.904173767107,17520,True,21761.527587903835,72.41373907291579
153,21793.751447150822,17520,True,21761.738201362965,72.22339755029864
154,21685.705821662377,17520,True,21761.244484611663,72.24709201089945
155,21818.731682440924,17520,True,21761.61536975895,72.16059024449517
156,21634.458828849252,17520,True,21760.800263727477,72.64126429470332
157,21747.230614525695,17520,True,21760.713832840844,72.41759973482999
158,21766.834883798085,17520,True,21760.752573669684,72.18969841708366
159,21723.607731667133,17520,True,21760.51895831118,72.02221729956746
160,21773.22304231264,17520,True,21760.59835883619,71.80377561512734
161,21814.831790253724,17520,True,21760.935212447475,71.70714021335877
162,21672.862206612062,17520,True,21760.39155191763,71.81754659002
163,21721.57591251358,17520,True,21760.153419160546,71.66103450867342
164,21637.685760701446,17520,True,21759.406665145554,72.07556182576201
165,21750.38941299369,17520,True,21759.35201513251,71.86022722991585
166,21739.73200487344,17520,True,21759.233822299626,71.65953842929228
167,21757.866045594805,17520,True,21759.225632019956,71.44474469603834
168,21657.071439608422,17520,True,21758.617571350842,71.66390101429538
169,21645.353465804696,17520,True,21757.947369542875,71.97768058230554
170,21722.264443453343,17520,True,21757.73746997764,71.81752613489019
171,21729.743890651527,17520,True,21757.573764835382,71.63903008597214
172,21806.207367876614,17520,True,21757.856518341436,71.526106554305
173,21614.783857651597,17520,True,21757.029508742075,72.13910365645538
174,21763.59544800413,17520,True,21757.06724402519,71.93322101130049
175,21769.792015781575,17520,True,21757.139957006657,71.7338157420774
176,21837.419296639477,17520,True,21757.596089618204,71.78379432633062
177,21713.8849072826,17520,True,21757.3491337858,71.6556652929374
178,21816.32849708165,17520,True,21757.680478523416,71.58995308138267
179,21788.36830394399,17520,True,21757.851918888893,71.426333794844
180,21747.114927499475,17520,True,21757.792268936733,71.23212173555262
181,21723.904959271953,17520,True,21757.6050462314,71.079472109973
182,21734.69533242312,17520,True,21757.479168683003,70.90415704506778
183,21831.065303474614,17520,True,21757.88127870919,70.91794827859883
184,21751.481427665036,17520,True,21757.846496910035,70.72653903175377
185,21663.23168483741,17520,True,21757.335065493426,70.87546539944015
186,21880.40705602418,17520,True,21757.996742861873,71.25531959338166
187,21699.086835593247,17520,True,21757.681716619794,71.19429786597705
188,21796.17042753838,17520,True,21757.88644380553,71.05986935947179
189,21713.716834186365,17520,True,21757.652742167335,70.94403406353065
190,21733.17309014973,17520,True,21757.523901893557,70.77925943523407
191,21781.576359248516,17520,True,21757.649830989656,70.61506778155696
192,21734.857331281073,17520,True,21757.531120053674,70.45003998485612
193,21771.053465128083,17520,True,21757.601184017793,70.27399625528822
194,21787.407150030645,17520,True,21757.754823017855,70.12513426272982
195,21734.76835723787,17520,True,21757.636943706162,69.96436280840412
196,21738.4152610795,17520,True,21757.538873896843,69.7990899719023
197,21708.400537522633,17520,True,21757.28944071728,69.70923147496873
198,21710.928540892353,17520,True,21757.05529475857,69.61059573078259
199,21739.484608676088,17520,True,21756.96699985363,69.44658896769154
200,21643.505206910075,17520,True,21756.399690888917,69.73349717660528
