case_dir,case_type,dwelling_id,run,run_optimal,annual_gas_kwh
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,86,3,True,21392.9283312342
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,86,4,True,21275.870423823122
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,86,5,True,21277.83388397386
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,94,1,True,13363.132966629257
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,94,2,True,13378.88331296379
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,94,3,True,13296.339113696557
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,94,4,True,13427.224950420057
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,94,5,True,13291.38937948507
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,95,1,True,20518.513792500664
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,95,2,True,20485.180736569277
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,95,3,True,20462.593374395656
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,95,4,True,20506.676195830332
agile_boiler_only_EV_0kW_offset2p0h,boiler_only,95,5,True,20684.944714896777
agile_hybrid_EV_0kW_offset2p0h,hybrid,1,1,True,8968.327362070451
agile_hybrid_EV_0kW_offset2p0h,hybrid,1,2,True,9035.63550513679
agile_hybrid_EV_0kW_offset2p0h,hybrid,1,3,True,8854.8447584827
agile_hybrid_EV_0kW_offset2p0h,hybrid,1,4,True,8919.87681925516
agile_hybrid_EV_0kW_offset2p0h,hybrid,1,5,True,8959.707577696547
agile_hybrid_EV_0kW_offset2p0h,hybrid,102,1,True,11881.775503261822
agile_hybrid_EV_0kW_offset2p0h,hybrid,102,2,True,11955.044648548308
agile_hybrid_EV_0kW_offset2p0h,hybrid,102,3,True,11772.837673679809
agile_hybrid_EV_0kW_offset2p0h,hybrid,102,4,True,11848.75219521211
agile_hybrid_EV_0kW_offset2p0h,hybrid,102,5,True,12030.564946597055
agile_hybrid_EV_0kW_offset2p0h,hybrid,103,1,True,10378.359334104334
agile_hybrid_EV_0kW_offset2p0h,hybrid,103,2,True,10516.472046998684
agile_hybrid_EV_0kW_offset2p0h,hybrid,103,3,True,10592.381363144501
agile_hybrid_EV_0kW_offset2p0h,hybrid,103,4,True,10467.438042955999
agile_hybrid_EV_0kW_offset2p0h,hybrid,103,5,True,10506.760094980611
agile_hybrid_EV_0kW_offset2p0h,hybrid,110,1,True,4874.012935057735
agile_hybrid_EV_0kW_offset2p0h,hybrid,110,2,True,4928.161876890423
agile_hybrid_EV_0kW_offset2p0h,hybrid,110,3,True,4957.866067566587
agile_hybrid_EV_0kW_offset2p0h,hybrid,110,4,True,4905.820987461989
agile_hybrid_EV_0kW_offset2p0h,hybrid,110,5,True,4889.579614028071
agile_hybrid_EV_0kW_offset2p0h,hybrid,113,1,True,35631.30563482407
agile_hybrid_EV_0kW_offset2p0h,hybrid,113,2,True,35612.46978333247
agile_hybrid_EV_0kW_offset2p0h,hybrid,113,3,True,35564.16352916149
agile_hybrid_EV_0kW_offset2p0h,hybrid,113,4,True,35791.77603939882
agile_hybrid_EV_0kW_offset2p0h,hybrid,113,5,True,35605.290787409045
agile_hybrid_EV_0kW_offset2p0h,hybrid,117,1,True,5016.699063678672
agile_hybrid_EV_0kW_offset2p0h,hybrid,117,2,True,5065.091991482893
agile_hybrid_EV_0kW_offset2p0h,hybrid,117,3,True,5030.4838529608205
agile_hybrid_EV_0kW_offset2p0h,hybrid,117,4,True,4965.38124889665
agile_hybrid_EV_0kW_offset2p0h,hybrid,120,1,True,6501.5252136656545
agile_hybrid_EV_0kW_offset2p0h,hybrid,120,2,True,6490.243851893012
agile_hybrid_EV_0kW_offset2p0h,hybrid,120,3,True,6534.916029828211
agile_hybrid_EV_0kW_offset2p0h,hybrid,120,4,True,6470.090053956176
agile_hybrid_EV_0kW_offset2p0h,hybrid,120,5,True,6568.093336356486
agile_hybrid_EV_0kW_offset2p0h,hybrid,123,1,True,8310.908228571125
agile_hybrid_EV_0kW_offset2p0h,hybrid,123,2,True,8309.561492900191
agile_hybrid_EV_0kW_offset2p0h,hybrid,123,3,True,8436.942319208005
agile_hybrid_EV_0kW_offset2p0h,hybrid,123,4,True,8486.896423155657
agile_hybrid_EV_0kW_offset2p0h,hybrid,123,5,True,8374.601744149259
agile_hybrid_EV_0kW_offset2p0h,hybrid,126,1,True,6009.012106092934
agile_hybrid_EV_0kW_offset2p0h,hybrid,126,2,True,6071.894131436354
agile_hybrid_EV_0kW_offset2p0h,hybrid,126,3,True,6018.817597380889
agile_hybrid_EV_0kW_offset2p0h,hybrid,126,4,True,5896.1398331397595
agile_hybrid_EV_0kW_offset2p0h,hybrid,126,5,True,5965.958228443361
agile_hybrid_EV_0kW_offset2p0h,hybrid,128,1,True,25801.399984548938
agile_hybrid_EV_0kW_offset2p0h,hybrid,128,2,True,25566.351819783555
agile_hybrid_EV_0kW_offset2p0h,hybrid,128,3,True,25644.95385962862
agile_hybrid_EV_0kW_offset2p0h,hybrid,128,4,True,25882.362316138886
agile_hybrid_EV_0kW_offset2p0h,hybrid,128,5,True,25699.26108270448
agile_hybrid_EV_0kW_offset2p0h,hybrid,134,1,True,14872.359374930424
agile_hybrid_EV_0kW_offset2p0h,hybrid,134,2,True,14803.562695383107
agile_hybrid_EV_0kW_offset2p0h,hybrid,134,3,True,14975.930629895292
agile_hybrid_EV_0kW_offset2p0h,hybrid,134,4,True,14881.593225294158
agile_hybrid_EV_0kW_offset2p0h,hybrid,134,5,True,14900.816723201118
agile_hybrid_EV_0kW_offset2p0h,hybrid,135,1,True,6603.796862978208
agile_hybrid_EV_0kW_offset2p0h,hybrid,135,2,True,6604.479612387056
agile_hybrid_EV_0kW_offset2p0h,hybrid,135,3,True,6608.582767703883
agile_hybrid_EV_0kW_offset2p0h,hybrid,135,4,True,6578.017889824642
agile_hybrid_EV_0kW_offset2p0h,hybrid,135,5,True,6525.619430121017
agile_hybrid_EV_0kW_offset2p0h,hybrid,136,1,True,5194.607532316092
agile_hybrid_EV_0kW_offset2p0h,hybrid,136,2,True,4981.056019946614
agile_hybrid_EV_0kW_offset2p0h,hybrid,136,3,True,5102.647641526147
agile_hybrid_EV_0kW_offset2p0h,hybrid,136,4,True,5010.803331312387
agile_hybrid_EV_0kW_offset2p0h,hybrid,136,5,True,4917.909016890222
agile_hybrid_EV_0kW_offset2p0h,hybrid,140,1,True,6805.317297443935
agile_hybrid_EV_0kW_offset2p0h,hybrid,140,3,True,6884.892657350706
agile_hybrid_EV_0kW_offset2p0h,hybrid,140,4,True,6891.950822520248
agile_hybrid_EV_0kW_offset2p0h,hybrid,140,5,True,6802.196775066043
agile_hybrid_EV_0kW_offset2p0h,hybrid,141,1,True,4213.256465325721
agile_hybrid_EV_0kW_offset2p0h,hybrid,141,2,True,4249.0970149980685
agile_hybrid_EV_0kW_offset2p0h,hybrid,141,4,True,4343.731900604074
agile_hybrid_EV_0kW_offset2p0h,hybrid,141,5,True,4299.333508251065
agile_hybrid_EV_0kW_offset2p0h,hybrid,144,1,True,20896.697162791883
agile_hybrid_EV_0kW_offset2p0h,hybrid,144,2,True,21133.19371955885
agile_hybrid_EV_0kW_offset2p0h,hybrid,144,3,True,21049.452102010546
agile_hybrid_EV_0kW_offset2p0h,hybrid,144,4,True,20891.633966465746
agile_hybrid_EV_0kW_offset2p0h,hybrid,144,5,True,20848.40126288253
agile_hybrid_EV_0kW_offset2p0h,hybrid,145,2,True,9665.032095400158
agile_hybrid_EV_0kW_offset2p0h,hybrid,145,5,True,9692.847858784591
agile_hybrid_EV_0kW_offset2p0h,hybrid,15,4,True,9787.676731870393
agile_hybrid_EV_0kW_offset2p0h,hybrid,15,5,True,9827.45869548561
agile_hybrid_EV_0kW_offset2p0h,hybrid,18,1,True,4900.864749749038
agile_hybrid_EV_0kW_offset2p0h,hybrid,18,2,True,5056.34073047668
agile_hybrid_EV_0kW_offset2p0h,hybrid,18,3,True,4998.693463306603
agile_hybrid_EV_0kW_offset2p0h,hybrid,18,4,True,4909.402030713278
agile_hybrid_EV_0kW_offset2p0h,hybrid,18,5,True,4946.15040836492
agile_hybrid_EV_0kW_offset2p0h,hybrid,19,1,True,5448.722159156302
agile_hybrid_EV_0kW_offset2p0h,hybrid,19,3,True,5492.360300251079
agile_hybrid_EV_0kW_offset2p0h,hybrid,19,5,True,5630.0934810351355
agile_hybrid_EV_0kW_offset2p0h,hybrid,2,1,True,7041.204917004621
agile_hybrid_EV_0kW_offset2p0h,hybrid,2,2,True,6962.788579088628
agile_hybrid_EV_0kW_offset2p0h,hybrid,2,3,True,7010.739210766716
agile_hybrid_EV_0kW_offset2p0h,hybrid,2,4,True,6919.612937281587
agile_hybrid_EV_0kW_offset2p0h,hybrid,2,5,True,6919.178724109062
agile_hybrid_EV_0kW_offset2p0h,hybrid,20,1,True,6412.678747221254
agile_hybrid_EV_0kW_offset2p0h,hybrid,20,2,True,6251.452474361252
agile_hybrid_EV_0kW_offset2p0h,hybrid,20,3,True,6361.041414241246
agile_hybrid_EV_0kW_offset2p0h,hybrid,20,4,True,6349.377667470976
agile_hybrid_EV_0kW_offset2p0h,hybrid,20,5,True,6269.381055592256
agile_hybrid_EV_0kW_offset2p0h,hybrid,23,1,True,14075.566070788349
agile_hybrid_EV_0kW_offset2p0h,hybrid,23,2,True,14110.514025479952
agile_hybrid_EV_0kW_offset2p0h,hybrid,23,3,True,14166.179171792719
agile_hybrid_EV_0kW_offset2p0h,hybrid,23,4,True,14078.417485835576
agile_hybrid_EV_0kW_offset2p0h,hybrid,23,5,True,14284.615103795866
agile_hybrid_EV_0kW_offset2p0h,hybrid,3,1,True,3710.9670684644007
agile_hybrid_EV_0kW_offset2p0h,hybrid,3,2,True,3663.4319231666113
agile_hybrid_EV_0kW_offset2p0h,hybrid,3,3,True,3657.489156941526
agile_hybrid_EV_0kW_offset2p0h,hybrid,3,4,True,3675.3582238018403
agile_hybrid_EV_0kW_offset2p0h,hybrid,3,5,True,3601.7688310574736
agile_hybrid_EV_0kW_offset2p0h,hybrid,30,3,True,9521.097232776528
agile_hybrid_EV_0kW_offset2p0h,hybrid,33,1,True,11467.572751589618
agile_hybrid_EV_0kW_offset2p0h,hybrid,33,2,True,11617.934371846213
agile_hybrid_EV_0kW_offset2p0h,hybrid,33,3,True,11612.50014218344
agile_hybrid_EV_0kW_offset2p0h,hybrid,33,4,True,11484.415462226398
agile_hybrid_EV_0kW_offset2p0h,hybrid,33,5,True,11589.643150618636
agile_hybrid_EV_0kW_offset2p0h,hybrid,34,1,True,9126.60649412809
agile_hybrid_EV_0kW_offset2p0h,hybrid,34,2,True,9068.057639284803
agile_hybrid_EV_0kW_offset2p0h,hybrid,34,3,True,9058.463088416409
agile_hybrid_EV_0kW_offset2p0h,hybrid,34,4,True,9120.376996443096
agile_hybrid_EV_0kW_offset2p0h,hybrid,34,5,True,8920.61574478128
agile_hybrid_EV_0kW_offset2p0h,hybrid,4,1,True,9323.441868803293
agile_hybrid_EV_0kW_offset2p0h,hybrid,4,2,True,9208.400071212001
agile_hybrid_EV_0kW_offset2p0h,hybrid,4,3,True,9168.927841265302
agile_hybrid_EV_0kW_offset2p0h,hybrid,4,4,True,9319.167708934665
agile_hybrid_EV_0kW_offset2p0h,hybrid,4,5,True,9201.425351804482
agile_hybrid_EV_0kW_offset2p0h,hybrid,40,1,True,7249.404387789867
agile_hybrid_EV_0kW_offset2p0h,hybrid,40,2,True,7310.662052895063
agile_hybrid_EV_0kW_offset2p0h,hybrid,40,3,True,7165.332655302197
agile_hybrid_EV_0kW_offset2p0h,hybrid,40,4,True,7186.564793380059
agile_hybrid_EV_0kW_offset2p0h,hybrid,40,5,True,7151.952653433114
agile_hybrid_EV_0kW_offset2p0h,hybrid,43,1,True,10919.175623792724
agile_hybrid_EV_0kW_offset2p0h,hybrid,43,2,True,11054.845166422116
agile_hybrid_EV_0kW_offset2p0h,hybrid,43,3,True,11116.629334634541
agile_hybrid_EV_0kW_offset2p0h,hybrid,43,4,True,11016.39031889836
agile_hybrid_EV_0kW_offset2p0h,hybrid,43,5,True,10997.7698869496
agile_hybrid_EV_0kW_offset2p0h,hybrid,44,1,True,28158.2251086083
agile_hybrid_EV_0kW_offset2p0h,hybrid,44,2,True,28066.818362826732
agile_hybrid_EV_0kW_offset2p0h,hybrid,44,3,True,27891.280953869842
agile_hybrid_EV_0kW_offset2p0h,hybrid,44,4,True,28095.377752172088
agile_hybrid_EV_0kW_offset2p0h,hybrid,44,5,True,27953.34130083245
agile_hybrid_EV_0kW_offset2p0h,hybrid,46,1,True,6087.184065947719
agile_hybrid_EV_0kW_offset2p0h,hybrid,46,2,True,6155.487764509419
agile_hybrid_EV_0kW_offset2p0h,hybrid,46,3,True,6262.388781594022
agile_hybrid_EV_0kW_offset2p0h,hybrid,46,4,True,6097.288973079556
agile_hybrid_EV_0kW_offset2p0h,hybrid,46,5,True,6219.099731046255
agile_hybrid_EV_0kW_offset2p0h,hybrid,56,2,True,5185.236333154655
agile_hybrid_EV_0kW_offset2p0h,hybrid,57,1,True,5710.387219205351
agile_hybrid_EV_0kW_offset2p0h,hybrid,57,4,True,5844.681372664878
agile_hybrid_EV_0kW_offset2p0h,hybrid,57,5,True,5818.245871004081
agile_hybrid_EV_0kW_offset2p0h,hybrid,58,1,True,5592.653509994705
agile_hybrid_EV_0kW_offset2p0h,hybrid,58,2,True,5511.257724906235
agile_hybrid_EV_0kW_offset2p0h,hybrid,58,3,True,5528.800907493033
agile_hybrid_EV_0kW_offset2p0h,hybrid,58,4,True,5549.7896281620815
agile_hybrid_EV_0kW_offset2p0h,hybrid,58,5,True,5590.959418572772
agile_hybrid_EV_0kW_offset2p0h,hybrid,67,1,True,6811.37406209047
agile_hybrid_EV_0kW_offset2p0h,hybrid,67,2,True,6791.66961397344
agile_hybrid_EV_0kW_offset2p0h,hybrid,67,3,True,6817.677632729767
agile_hybrid_EV_0kW_offset2p0h,hybrid,67,4,True,6822.669900003781
agile_hybrid_EV_0kW_offset2p0h,hybrid,67,5,True,6911.832455947417
agile_hybrid_EV_0kW_offset2p0h,hybrid,68,2,True,9555.364077006752
agile_hybrid_EV_0kW_offset2p0h,hybrid,68,3,True,9610.855270770333
agile_hybrid_EV_0kW_offset2p0h,hybrid,68,4,True,9587.234624091001
agile_hybrid_EV_0kW_offset2p0h,hybrid,74,1,True,13832.2393151756
agile_hybrid_EV_0kW_offset2p0h,hybrid,74,2,True,13654.106415223023
agile_hybrid_EV_0kW_offset2p0h,hybrid,74,3,True,13833.327550858328
agile_hybrid_EV_0kW_offset2p0h,hybrid,74,4,True,13853.405160241256
agile_hybrid_EV_0kW_offset2p0h,hybrid,74,5,True,13961.835852325126
agile_hybrid_EV_0kW_offset2p0h,hybrid,86,1,True,8814.707164253114
agile_hybrid_EV_0kW_offset2p0h,hybrid,86,2,True,8778.51813342224
agile_hybrid_EV_0kW_offset2p0h,hybrid,86,3,True,8854.76996056917
agile_hybrid_EV_0kW_offset2p0h,hybrid,86,4,True,8802.369648388187
agile_hybrid_EV_0kW_offset2p0h,hybrid,86,5,True,8741.008460116702
agile_hybrid_EV_0kW_offset2p0h,hybrid,94,1,True,4973.747174040454
agile_hybrid_EV_0kW_offset2p0h,hybrid,94,2,True,4908.450403387411
agile_hybrid_EV_0kW_offset2p0h,hybrid,94,3,True,4956.563173720846
agile_hybrid_EV_0kW_offset2p0h,hybrid,94,4,True,5114.280840751424
agile_hybrid_EV_0kW_offset2p0h,hybrid,94,5,True,5013.2119953259
agile_hybrid_EV_0kW_offset2p0h,hybrid,95,1,True,8630.57649911746
agile_hybrid_EV_0kW_offset2p0h,hybrid,95,2,True,8511.96768514252
agile_hybrid_EV_0kW_offset2p0h,hybrid,95,3,True,8559.664864682509
agile_hybrid_EV_0kW_offset2p0h,hybrid,95,4,True,8514.265978636513
agile_hybrid_EV_0kW_offset2p0h,hybrid,95,5,True,8780.100997226375
